  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    simulationTime    numClosestStations    carConsumption    exponentialLambdaCities    endCityRatio    chargingTreshold    batteryTolerance    carVelocity
          300        122008     115.4         -0.391419       195.734   1.22311e+07              1000                     3            0.0001                      0.01            10                    0.5                0                 2
          300        122467     115.105       -0.391313       189.904   1.2277e+07               1000                     3            0.0001                      0.01            10                    0.3                0.1               2
          300        203473     105.97        -0.381879       185.232   2.03776e+07              1000                     3            0.0001                      0.1            100                    0.5                0.05              1
          300        204130     105.81        -0.38226        184.586   2.04433e+07              1000                     3            0.0001                      0.1              1                    0.5                0.05              1
          300        204702     136.638       -0.391782       196.552   2.05005e+07              1000                     1            0.0001                      0.001          100                    0.3                0.05              1
          300        205180     135.624       -0.389918       203.999   2.05483e+07              1000                     1            0.0001                      0.001            0.1                  0.5                0.05              1
          300        205677     140.436       -0.392327       201.203   2.0598e+07               1000                     1            0.0001                      0.001            0.1                  0.5                0.1               1
          300        205937     141.398       -0.39648        205.027   2.0624e+07               1000                     1            0.0001                      0.001            0.01                 0.3                0.1               1
          300        206634     105.281       -0.381525       184.661   2.06937e+07              1000                     3            0.0001                      0.1             10                    0.3                0                 1
          300        206841     135.711       -0.388018       201.141   2.07144e+07              1000                     1            0.0001                      0.001          100                    0.5                0.05              1
          300        207335     135.849       -0.387946       204.869   2.07638e+07              1000                     1            0.0001                      0.001            1                    0.3                0.05              1
          300        207658     131.442       -0.388438       201.559   2.07961e+07              1000                     1            0.0001                      0.01           100                    0.3                0.05              1
          300        208042     137.092       -0.393193       203.202   2.08345e+07              1000                     1            0.0001                      0.001            0.01                 0.5                0                 1
          300        208523     137.15        -0.393645       199.82    2.08826e+07              1000                     1            0.0001                      0.001          100                    0.3                0                 1
          300        208573     133.04        -0.394497       207.172   2.08876e+07              1000                     1            0.0001                      0.001            1                    0.5                0                 1
          300        208661     105.047       -0.38241        188.455   2.08964e+07              1000                     3            0.0001                      0.1              0.1                  0.7                0                 1
          300        209040     105.834       -0.382901       187.416   2.09343e+07              1000                     3            0.0001                      0.1              0.01                 0.5                0.1               1
          300        209349     141.089       -0.394257       206.582   2.09652e+07              1000                     1            0.0001                      0.001            1                    0.7                0                 1
