  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    numClosestStations    exponentialLambdaCities    endCityRatio    chargingTreshold    batteryTolerance
          300        655176     121.755       -0.345708        184.452  6.55479e+07                    10                      0.001          100                    0.5                0.05
          300        655514     117.769       -0.3406          180.333  6.55817e+07                    10                      0.01             1                    0.3                0
          300        655669     101.435       -0.344295        201.737  6.55972e+07                     1                      0.01           100                    0.3                0.05
          300        655867     114.26        -0.34923         179.099  6.5617e+07                     10                      0.01           100                    0.7                0.1
          300        656119      81.9193      -0.344262        174.185  6.56422e+07                    10                      0.1              0.01                 0.3                0.05
          300        656638     115.338       -0.344354        184.279  6.56941e+07                    10                      0.01             0.01                 0.7                0.05
          300        657109     114.739       -0.345422        180.411  6.57412e+07                    10                      0.01             1                    0.5                0.05
          300        657132     116.515       -0.346184        182.871  6.57435e+07                    10                      0.01           100                    0.3                0.05
          300        657292     117.62        -0.342202        180.245  6.57595e+07                    10                      0.01             0.01                 0.3                0
          300        657624     117.816       -0.342555        179.677  6.57927e+07                    10                      0.001            1                    0.5                0.1
          300        658093     124.042       -0.348897        177.077  6.58396e+07                    10                      0.001            1                    0.3                0.05
          300        658465     111.852       -0.346104        184.055  6.58768e+07                    10                      0.01             0.01                 0.3                0.1
          300        658480     102.787       -0.347931        185.663  6.58783e+07                     5                      0.001            1                    0.3                0.1
          300        658755      83.0311      -0.343823        163.11   6.59057e+07                    10                      0.1            100                    0.3                0
          300        658895     115.822       -0.346824        180.038  6.59198e+07                    10                      0.01           100                    0.7                0
          300        659206      98.8022      -0.345213        182.85   6.59509e+07                    10                      0.001            0.01                 0.3                0.05
          300        659256     114.989       -0.347008        179.815  6.59559e+07                    10                      0.01             1                    0.7                0.05
          300        659326     120.737       -0.34337         177.594  6.59629e+07                    10                      0.001          100                    0.5                0.1
          300        659945     117.251       -0.346928        181.468  6.60248e+07                    10                      0.01             0.01                 0.5                0.05
          300        660263     116.494       -0.342497        178.165  6.60566e+07                    10                      0.01             0.01                 0.5                0
          300        660790     123.871       -0.345643        181.347  6.61093e+07                    10                      0.001            0.01                 0.7                0
          300        660888     121.447       -0.344222        180.519  6.61191e+07                    10                      0.001          100                    0.7                0.1
          300        661079     110.785       -0.348014        181.611  6.61382e+07                    10                      0.01             1                    0.3                0.05
          300        661505     112.328       -0.344893        177.153  6.61808e+07                    10                      0.01           100                    0.3                0.1
